"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","food_deficit","food_price","food_production","gdp","protein_supply","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","calories","protein","fat","vitaminA","calcium","iron","zinc","thiamin","riboflavin","niacin","B6","magnesium","polyunsatFA","calories_demersalfish","calories_pelagicfish","calories_othermarinefish","calories_crustaceans","calories_molluscs","calories_seafood","protein_demersalfish","protein_pelagicFish","protein_othermarinefish","protein_crustaceans","protein_molluscs","protein_seafood","fat_demersalfish","fat_pelagicfish","fat_othermarinefish","fat_crustaceans","fat_molluscs","fat_seafood","vitaminA_demersalfish","vitaminA_pelagicfish","vitaminA_othermarinefish","vitaminA_crustaceans","vitaminA_molluscs","vitaminA_seafood","calcium_demersalfish","calcium_pelagicfish","calcium_othermarinefish","calcium_crustaceans","calcium_molluscs","calcium_seafood","iron_demersalfish","iron_pelagicfish","iron_othermarinefish","iron_crustaceans","iron_molluscs","iron_seafood","zinc_demersalfish","zinc_pelagicfish","zinc_othermarinefish","zinc_crustaceans","zinc_molluscs","zinc_seafood","thiamin_demersalfish","thiamin_pelagicfish","thiamin_othermarinefish","thiamin_crustaceans","thiamin_molluscs","thiamin_seafood","riboflavin_demersalfish","riboflavin_pelagicfish","riboflavin_othermarinefish","riboflavin_crustaceans","riboflavin_molluscs","riboflavin_seafood","niacin_demersalfish","niacin_pelagicFish","niacin_othermarinefish","niacin_crustaceans","niacin_molluscs","niacin_seafood","B6_demersalfish","B6_pelagicFish","B6_othermarinefish","B6_crustaceans","B6_molluscs","B6_seafood","polyunsatFA_demersalfish","polyunsatFA_pelagicFish","polyunsatFA_othermarinefish","polyunsatFA_crustaceans","polyunsatFA_molluscs","polyunsatFA_seafood","calories_percentseafood","protein_percentseafood","fat_percentseafood","vitaminA_percentseafood","calcium_percentseafood","iron_percentseafood","zinc_percentseafood","thiamin_percentseafood","riboflavin_percentseafood","niacin_percentseafood","B6_percentseafood","polyunsatFA_percentseafood","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste"
"2378",2011,"Bangladesh",704874,115106,915134,388689,6.12369468142408,2.35441188199306,0.384475713515739,120,8.5,135,2579.3,55,10,"17.2",3.2,17,151.2,"26.0",2431,29,15,2.2,2368.308,55.3022,32.0261,168.4932,299.6337,13.817,5.3506,1.4359,0.78305,18.6761,1.5336,261.9291,7.2868,0.57156,1.101,0.91685,0.68116,0,3.27057,0.11628,0.15366,0.17467,0.14473,0,0.58934,0.0085099,0.049899,0.018904,0.0080938,0,0.0854067,0.11431,0.28514,0.26466,0.12822,0,0.79233,0.11431,0.17425,0.18904,0.36863,0,0.84623,0.0021592,0.0087126,0.0043479,0.0047281,0,0.0199478,0.0026673,0.0052276,0.004537,0.028368,0,0.0407999,0.00035564,0.00079205,0.0007089,0.00034459,0,0.00220118,0.00041279,0.0011881,0.00075616,0.00032055,0,0.0026776,0.013972,0.061463,0.027411,0.020034,0,0.12288,0.0017845,0.0031682,0.0028356,0.0012021,0,0.0089904,0.00268,0.0090849,0.0044755,0.0025403,0,0.0187807,0.00138097325178989,0.0106567189008756,0.00266678427907238,0.00470244496513806,0.00282421503322223,0.00144371426503583,0.00762529435951108,0.00153296190542517,0.00341944958814891,0.00657953212929894,0.0058622848200313,0.00257735906021848,5,5,3,1,1,3,1,1,6,4,1,5,1
"2382",2011,"Belize",10976,45561,78038,113334,0.240907793946577,0.688566537843895,2.85821611066925,36,3.03,509,7857.2,71,28,"5.7",27.8,47,0.3,"<0.1",2788,72,31.3,30.8,2579.8887,68.9232,65.1692,375.2132,445.2954,29.5915,13.2048,2.4586,1.7244,25.9309,1.8286,361.7647,16.1639,1.5657,9.5419,0.99661,1.4654,5.4261,18.99571,0.32007,1.753,0.21675,0.3039,0.91001,3.50373,0.020114,0.27108,0.016056,0.018688,0.11471,0.440648,0.1749,0,0.34405,0,0.32683,0.84578,0.45475,2.3493,0.17203,1.0305,5.8317,9.83828,0.019239,0.090359,0.012615,0.019212,0.19225,0.333675,0.0087452,0.045179,0.0034405,0.031438,0.10894,0.1977427,0.0013992,0.0045179,0.00091748,0.0022705,0.0032042,0.01230928,0.0018365,0.0099395,0.00057342,0.0010479,0.012176,0.02557332,0.043726,0.30722,0.025231,0.033185,0.11535,0.524712,0.0050197,0.036144,0.0034405,0.0026199,0.0032042,0.0504283,0.0061216,0.069576,0.0045874,0.0052397,0.05319,0.1387147,0.00736299593079345,0.0508352775262901,0.00676159903758217,0.00225413178427625,0.02209382805212,0.011276042106686,0.0149750620986308,0.00500662165460018,0.0148302713987474,0.0202350091975211,0.027577545663349,0.00858175935263148,1,5,3,3,3,5,1,1,5,7,3,5,3
"2389",2011,"Brazil",359178,1772930,812281,2198422,0.202590062777436,0.369483656913914,1.82379950846763,15,2.41,647,14830.9,92,49,"<5.0",6.1,21,195.2,"ns",3228,113,38.8,10.7,3186.4739,98.2038,107.0934,879.9547,856.4487,35.0344,16.7447,1.911,1.6662,22.7997,2.0573,373.5667,31.7616,3.6348,1.6387,0.66806,0.35629,0.30412,6.60197,0.74303,0.30105,0.1453,0.07389,0.051003,1.314273,0.046693,0.046553,0.010763,0.0045438,0.0064293,0.1149821,0.40603,0,0.23063,0,0.018318,0.654978,1.0557,0.40346,0.11532,0.25055,0.32685,2.15188,0.044663,0.015518,0.0084564,0.0046712,0.010775,0.0840836,0.020301,0.0077589,0.0023063,0.0076438,0.006106,0.044116,0.0032482,0.00077589,0.00061501,0.00055205,0.00017959,0.00537074,0.0042633,0.001707,0.00038438,0.00025479,0.00068244,0.00729191,0.10151,0.052761,0.016913,0.0080685,0.0064652,0.1857177,0.011653,0.0062071,0.0023063,0.00063699,0.00017959,0.02098298,0.014211,0.011949,0.0030751,0.001274,0.0029812,0.0334903,0.0020718732389429,0.0133831175575691,0.00107366186898539,0.000744331497973703,0.00251256146456875,0.00240002968510949,0.00263462468721446,0.00281043432757719,0.00437637138398752,0.0081456203371097,0.0101992806105089,0.00105442735882323,1.2,5,3.2,3.1,3.1,5.1,1.3,1.2,5.9,7,5.1,5.1,1.3
"2402",2011,"Chile",435062,219942,1952184,474563,1.97807603822826,4.11364560658964,2.07961955308563,28,2.4,460,20266,85,43,"<5.0",6.4,27,17.2,"ns",2950,86,24.4,13,2786.9465,90.0295,75.8071,641.4244,708.8422,31.4028,15.9104,3.2078,1.9773,24.9884,1.7151,274.0586,18.9682,4.1567,8.3812,0.065711,0.60339,1.2485,14.455501,0.84972,1.5397,0.014292,0.12514,0.20938,2.738232,0.053398,0.2381,0.0010586,0.0076952,0.026394,0.3266458,0.46433,0,0.022685,0,0.075201,0.562216,1.2073,2.0635,0.011342,0.42432,1.3418,5.048262,0.051076,0.079367,0.00083178,0.007911,0.044236,0.18342178,0.023216,0.039684,0.00022685,0.012945,0.025067,0.10113885,0.0037146,0.0039684,6.0493e-05,0.00093493,0.00073726,0.009415683,0.0048755,0.0087304,3.7808e-05,0.00043151,0.0028016,0.016876818,0.11608,0.26985,0.0016636,0.013664,0.026541,0.4277986,0.013326,0.031747,0.00022685,0.0010788,0.00073726,0.04711591,0.016252,0.061113,0.00030247,0.0021575,0.012239,0.09206397,0.00518685988410614,0.0304148306943835,0.00430890774083166,0.00087651171361738,0.00712184178650763,0.00584093711388793,0.00635677607099759,0.00293524627470541,0.00853528447883477,0.0171198876278593,0.0274712319981342,0.0048535954914014,3.1,3,3.2,3.2,3.2,3.5,3.2,3.2,5.2,4.2,4.7,5,3.9
"2403",2011,"China",362518,168873,776541,371619,2.1466901162412,2.08961597765453,0.973412958789506,101,3.1,346,10518.1,94,37,"12.5",8.4,25,1390.6,"173.4",3039,93,28.9,3.4,2756.6277,89.8205,76.9792,1593.013,687.1138,31.1768,16.1885,1.6771,1.5853,25.3626,2.7168,428.7836,17.548,3.7276,0.80175,1.9055,2.1637,9.4936,18.09215,0.66033,0.11962,0.31475,0.40389,1.669,3.16759,0.092304,0.032975,0.052742,0.033658,0.16844,0.380119,0.49702,0.096986,0.25521,2.0916,3.9812,6.922016,1.9526,0.34915,0.91874,3.0292,20.0592,26.30889,0.028401,0.0090521,0.020416,0.048082,1.1178,1.2237511,0.028756,0.0065951,0.014462,0.061064,0.37821,0.4890871,0.001065,0.00019397,0.00051041,0.00072123,0.0015312,0.00402181,0.0024851,0.00038795,0.001191,0.0021637,0.019906,0.02613375,0.081653,0.039441,0.045699,0.060103,0.16078,0.387676,0.0099759,0.0025863,0.0051041,0.0036062,0.0076562,0.0289287,0.014982,0.0073516,0.0082176,0.0071162,0.0294,0.0670674,0.00656314597723878,0.0352657800836112,0.00493794427585633,0.00434523509852085,0.0382889850269344,0.0392519790356932,0.0302120085245699,0.00239807405640689,0.0164850501482369,0.0152853414082152,0.0106480786219081,0.00382193982220196,2.6,3.4,9.9,6.9,6.9,4.9,9.8,5.2,7.1,6,5.8,6.1,1.9
"2406",2011,"Colombia",316505,380852,361220,919449,0.831044605253484,0.392865727190959,0.472737233004632,75,2.78,266,11496.5,62,32,"10.7",4.1,59,46.4,"5.0",2690,77,23.9,9.8,2621.6388,64.1399,75.7796,2151.2435,662.2982,25.9222,11.3612,1.7525,1.7342,20.1159,1.6419,250.5021,17.4809,0.13048,5.8549,0.16428,0.074705,0.064024,6.288389,0.026673,1.0756,0.035729,0.015493,0.010738,1.164233,0.0016762,0.16633,0.0026466,0.00095274,0.0013535,0.17295904,0.014575,0,0.056712,0,0.0038564,0.0751434,0.037896,1.4415,0.028356,0.052534,0.068811,1.629097,0.0016033,0.055444,0.0020795,0.00097945,0.0022685,0.06237475,0.00072877,0.027722,0.00056712,0.0016027,0.0012855,0.03190609,0.0001166,0.0027722,0.00015123,0.00011575,3.7808e-05,0.003193588,0.00015304,0.0060988,9.4521e-05,5.3425e-05,0.00014367,0.006543456,0.0036438,0.18851,0.0041589,0.0016918,0.0013611,0.1993656,0.00041831,0.022178,0.00056712,0.00013356,3.7808e-05,0.023334798,0.00051014,0.042692,0.00075616,0.00026712,0.00062762,0.04485304,0.0023986481280335,0.0181514626620871,0.00228239578989596,3.49302159425467e-05,0.00245976359289516,0.00240622902377113,0.00280833802767313,0.00182230413694722,0.0037731841771422,0.00991084664369976,0.0142120701626165,0.00256583127870991,10,5,3,3,3,5,1,3,5,3,5,5,3
"2411",2011,"Costa Rica",171487,524311,204040,956827,0.327071146704914,0.213246490744931,0.651988085446509,37,3.35,580,13072.1,76,39,"5.3",7.6,24,4.7,"0.2",2870,87,20.8,22.8,2959.814,79.5574,94.0165,4272.2312,985.5068,29.9328,14.577,2.8964,2.2955,28.6293,1.7563,349.4927,20.0279,0.45667,3.926,1.1937,0.76429,0.99238,7.33304,0.093355,0.72125,0.25963,0.15851,0.16643,1.399175,0.0058666,0.11153,0.019232,0.0097473,0.02098,0.1673559,0.051014,0,0.41211,0,0.059775,0.522899,0.13264,0.96663,0.20605,0.53747,1.0666,2.90939,0.0056115,0.037178,0.015111,0.010021,0.035162,0.1030835,0.0025507,0.018589,0.0041211,0.016397,0.019925,0.0615828,0.00040811,0.0018589,0.001099,0.0011842,0.00058603,0.00513624,0.00053564,0.0040896,0.00068685,0.00054658,0.0022269,0.00808557,0.012753,0.12641,0.030221,0.017308,0.021097,0.207789,0.0014641,0.014871,0.0041211,0.0013664,0.00058603,0.02240863,0.0017855,0.028627,0.0054948,0.0027329,0.0097281,0.0483683,0.00247753406126196,0.0175869875083902,0.00178006945589338,0.000122394827321143,0.00295217648422111,0.00344383084776566,0.00422465527886396,0.00177331860240298,0.00352235678501416,0.00725791409500057,0.012758999032056,0.00241504601081491,10,5,3,1,1,5,5,3,5,5,5,3,5
"2422",2011,"Ecuador",143768,105094,363490,275363,1.36799436694768,1.32003936621841,0.964945030558661,94,3.39,486,9927,66,41,"14.4",5.2,28,15,"2.2",2435,101,12.6,16.3,2463.7345,71.9176,96.5898,2868.4479,821.1647,24.1511,11.8872,1.7711,1.8971,20.8374,1.9638,253.0108,17.4473,0.75491,4.6259,0.087614,1.8791,0.064024,7.411548,0.15432,0.84983,0.019055,0.38971,0.010738,1.423653,0.0096978,0.13142,0.0014115,0.023965,0.0013535,0.1678478,0.084329,0,0.030247,0,0.0038564,0.1184324,0.21925,1.1389,0.015123,1.3214,0.068811,2.763484,0.0092762,0.043805,0.001109,0.024637,0.0022685,0.0810957,0.0042164,0.021903,0.00030247,0.040315,0.0012855,0.06802237,0.00067463,0.0021903,8.0658e-05,0.0029116,3.7808e-05,0.005894996,0.00088545,0.0048186,5.0411e-05,0.0013438,0.00014367,0.007241931,0.021082,0.14894,0.0022181,0.042555,0.0013611,0.2161562,0.0024202,0.017522,0.00030247,0.0033596,3.7808e-05,0.023642078,0.0029515,0.03373,0.00040329,0.0067192,0.00062762,0.04443161,0.00300825758619689,0.0197956133130138,0.00173773835332509,4.128797319275e-05,0.00336532244992996,0.00335784705458551,0.00572232064741907,0.00332843769408842,0.0038173691423752,0.0103734726981293,0.0120389438843059,0.00254661810136812,9.9,5,3,5,5,5,1,1,5,3,5,5,3
"2423",2011,"Egypt",62374,53693,75000,414620,1.1616784310804,0.18088852443201,0.155713078242984,17,7,263,10071.2,102,24,"<5.0",14.3,33,78.1,"ns",3506,62,55.1,11.5,3537.702,88.2055,58.6383,504.4676,595.082,26.3524,9.2912,1.5725,1.216,21.2573,2.0325,390.1454,14.482,4.0478,6.8304,0.95579,0.36247,0.1138,12.31026,0.8235,0.95331,0.18359,0.07793,0.015959,2.054289,0.060267,0.24078,0.019215,0.0041856,0.0012704,0.325718,0.80956,1.5725,0.27877,0.030205,0.034405,2.72544,0.80956,1.0811,0.19912,0.19849,0.041022,2.329292,0.015292,0.050123,0.0045798,0.0025459,0.005227,0.0777677,0.01889,0.032432,0.004779,0.015275,0.0021173,0.0734933,0.0025186,0.004914,0.00075667,0.00020281,3.4405e-05,0.008426485,0.0029234,0.0078624,0.00094584,0.00018555,0.00013233,0.01204952,0.098946,0.29975,0.028873,0.010788,0.0013895,0.4397465,0.011694,0.019656,0.0029868,0.00064726,6.6164e-05,0.035050224,0.01898,0.055872,0.0048088,0.0012773,0.00025407,0.08119217,0.00347973345408969,0.0232898061912239,0.0055546971859689,0.00540260662924636,0.00391423702951862,0.00295106707548459,0.0079099900981574,0.00535865500794913,0.0099091447368421,0.0206868464010011,0.0172448826568266,0.00560641969341251,9.6,4.8,2.9,4.8,4.8,5,3.9,4.9,6.7,5.1,5.1,7,4.8
"2447",2011,"Guatemala",39958,80025,305181,522107,0.499318962824117,0.584518116018364,1.17063071811326,94,6.47,258,6798.8,64,18,"14.8",8.3,35,14.3,"2.1",2459,57,26.4,8.4,2527.8026,63.2436,56.4395,2965.6509,487.6775,28.3422,11.5796,2.156,1.5005,20.2565,2.4724,531.7873,20.4056,0.01864,0.80227,0.087614,0.086199,0.064024,1.058747,0.0038104,0.14739,0.019055,0.017877,0.010738,0.1988704,0.00023945,0.022792,0.0014115,0.0010993,0.0013535,0.02689575,0.0020822,0,0.030247,0,0.0038564,0.0361856,0.0054137,0.19753,0.015123,0.060616,0.068811,0.3474937,0.00022904,0.0075973,0.001109,0.0011301,0.0022685,0.01233394,0.00010411,0.0037986,0.00030247,0.0018493,0.0012855,0.00733998,1.6658e-05,0.00037986,8.0658e-05,0.00013356,3.7808e-05,0.000648544,2.1863e-05,0.0008357,5.0411e-05,6.1644e-05,0.00014367,0.001113288,0.00052055,0.025831,0.0022181,0.0019521,0.0013611,0.03188285,5.9759e-05,0.0030389,0.00030247,0.00015411,3.7808e-05,0.003593047,7.2877e-05,0.0058499,0.00040329,0.00030822,0.00062762,0.007261907,0.000418840854107833,0.00314451422752658,0.000476541252137244,1.22015709940776e-05,0.000712548149135443,0.000435179343875917,0.000633871636325953,0.000300808905380334,0.000741944685104965,0.00157395650778762,0.00145326282154991,0.000355878141294547,5,5,1,3,3,5,1,5,5,1,1,3,5
"2452",2011,"Honduras",91334,132618,254156,469272,0.688699874828455,0.5415963449769,0.786404012505163,104,4.94,210,4433.7,65,25,"14.9",8.8,26,7.6,"1.1",2608,72,26.6,10.4,2621.9446,65.2542,68.4982,4571.009,628.5356,26.8051,10.8536,2.047,1.5217,21.359,2.3784,472.4182,13.7472,0,1.5192,0.38331,0.051719,0.36814,2.322369,0,0.27909,0.083367,0.010726,0.061741,0.434924,0,0.043159,0.0061753,0.00065959,0.0077828,0.05777669,0,0,0.13233,0,0.022175,0.154505,0,0.37404,0.066164,0.03637,0.39566,0.872234,0,0.014386,0.0048521,0.00067808,0.013044,0.03296018,0,0.0071932,0.0013233,0.0011096,0.0073915,0.0170176,0,0.00071932,0.00035288,8.0137e-05,0.0002174,0.001369737,0,0.0015825,0.00022055,3.6986e-05,0.00082611,0.002666146,0,0.048913,0.0097041,0.0011712,0.0078263,0.0676146,0,0.0057545,0.0013233,9.2466e-05,0.0002174,0.007387666,0,0.011077,0.0017644,0.00018493,0.0036088,0.01663513,0.000885742971075743,0.00666507289952218,0.000843477492839228,3.38010710545527e-05,0.00138772410027372,0.00122962346717602,0.00156792216407459,0.000669143624816805,0.00175208385358481,0.00316562573154174,0.00310614951227716,0.0012100740514432,5,5,1,5,5,3,1,1,5,2,2,3,1
"2455",2011,"India",455488,1669875,2427128,283369,0.27276772213489,8.56525590308044,31.4012810461668,112,4.7,174,4685.9,59,12,"15.7",3,28,1205.6,"189.7",2438,52,14.5,5.1,2510.9233,66.1682,50.8858,317.7054,804.3658,21.9702,11.5156,0.23578,0.10875,17.826,14.7691,724.201,13.3527,0.30015,0.9246,0.50411,0.20116,0.013611,1.943631,0.061321,0.17781,0.096789,0.024863,0.0018904,0.3626734,0.0035501,0.017781,0.010082,0.0022603,0.00037808,0.03405148,0.058093,0.32005,0.13863,0.036164,0.0049151,0.5578521,1.3071,2.5427,1.4418,3.0966,0.21437,8.60257,0.0064548,0.026671,0.010082,0.011301,0.0015123,0.0560211,0.0013555,0.0058677,0.0024197,0.0080014,0.00030247,0.01794677,0.00018073,0,0,0,4.9151e-06,0.0001856451,0.00020978,0,0,0,1.8904e-05,0.000228684,0.0032274,0.023115,0.010082,0.0067808,0.00019849,0.04340369,0.00092626,0.0035562,0.0015123,0.00033904,9.4521e-06,0.0063432521,0.001362,0.010108,0.0023391,0.00071651,3.6296e-05,0.014561906,0.000774070239421491,0.00548108305802485,0.000669174504478656,0.00175587855919352,0.0106948480405308,0.00254986754786028,0.00155847459098961,0.000787365764695903,0.00210284137931034,0.00243485302367329,0.000429494830422978,0.00109055891317861,10,1,1,1,1,3,1,1,7,4,5,7,1
"2456",2011,"Indonesia",239102,264895,465955,916984,0.902629343702222,0.508138637097267,0.562953820017735,94,6.32,226,8870.3,60,17,"13.5",10.9,21,240.7,"32.4",2656,54,23.5,3,2828.3075,59.684,62.3778,201.1079,268.2027,15.5995,7.2072,1.3964,1.0543,19.5788,1.5999,280.423,9.6671,4.3289,26.6926,0.68458,1.1702,0.16258,33.03886,0.88069,3.7254,0.13042,0.24863,0.022798,5.007938,0.064452,1.2098,0.014115,0.013905,0.0018148,1.3040868,0.86578,6.9132,0.19761,0.22027,0.049151,8.246011,0.86578,4.2247,0.14115,0.63329,0.058603,5.923523,0.016354,0.21124,0.0032465,0.0081226,0.0074671,0.2464302,0.020201,0.12674,0.0033876,0.048736,0.0030247,0.2020893,0.0026935,0.019203,0.00052932,0.00059199,4.9151e-05,0.023066961,0.0031264,0.028805,0.0005646,0.00055068,0.00018904,0.03323572,0.10582,1.4902,0.020467,0.034418,0.0019849,1.6528899,0.013516,0.076813,0.0021173,0.0020651,9.4521e-05,0.094605921,0.020298,0.22026,0.0033417,0.0043642,0.00036296,0.24862686,0.0116814950283871,0.0839075464110985,0.0209062647287977,0.0410029193283804,0.0220859931685997,0.0157973140164749,0.0280399184149184,0.0165188778287024,0.0315239685099118,0.0844224314053977,0.059132396399775,0.0257188670852686,10,2.6,4.8,6.6,6.6,3,3.4,2.4,7.5,4.5,2.9,6.8,2.4
"2481",2011,"Madagascar",42903,42300,381593,121888,1.01425531914894,3.13068554738777,3.08668388351636,215,7.3,156,1371.6,48,11,"31.6",6.8,23,21.1,"6.7",2073,26,9.3,1.7,2158.4905,43.6091,22.1979,330.7408,342.1236,12.2733,7.6555,0.87388,0.79005,12.8558,1.605,295.567,4.8228,0.23008,2.5372,1.6817,0.21548,0,4.66446,0.053596,0.4515,0.36437,0.015938,0,0.885404,0.0027068,0.086124,0.014014,0.00053425,0,0.10337905,0.018948,0.44226,0.47298,0.014247,0,0.948435,0.47911,0.65175,0.91093,0.68606,0,2.72785,0.00054137,0.025604,0.054305,0.0014247,0,0.08187507,0.0024091,0.011871,0.0082334,0.0031521,0,0.0256656,0.00021655,0.0027932,0.0013138,4.1849e-05,0,0.004365399,8.1205e-05,0.0032587,0.0015328,3.5616e-05,0,0.004908321,0.0092033,0.2188,0.051467,0.001966,0,0.2814363,0.00086619,0.0093107,0.0052553,0.00013356,0,0.01556575,0.0011423,0.026698,0.0081283,0.00028226,0,0.03625086,0.00216098240877132,0.020303193599501,0.00465715450560639,0.00286760810882721,0.0079732880163777,0.00667099068710127,0.00335257004767814,0.0049954215681787,0.00621267134991456,0.0218917764744318,0.00969828660436137,0.00751655884548395,10,1,1,3,3,5,1,1,7,3,3,6,1
