"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","native_q","fishmeal_q","habitat_q","trade","fs","nutrition","ecol","totscore"
"1","Albania",2011,0.48177806,0.375072796,121,9640.1,0.004553425,0.002651805,0.013648815,0.002526933,0.003763903,0.020495278,0.003659989,0.010809414,0.002911938,0.001223584,0.005117607,NA,NA,NA,13,0.420794139682011,3,1,4,3,3,3,2,2,2,1,2,1,1,2,1.625,3,2,1,NA,NA,NA,2.66666666666667,3,2.20833333333333,NA,2.625
"2","Algeria",2011,0.144852645,2.431826699,135,13026.2,0.002710484,0.002346682,0.013232786,0.003543435,0.003461462,0.017650792,0.006300444,0.011794188,0.003569556,0.002319956,0.003938499,NA,NA,NA,19,0.0220686300521801,1,5,2,4,5,3,2,2,2,2,2,2,1,2,1.875,2,1,1,NA,NA,NA,2.66666666666667,4,1.95833333333333,NA,2.875
"3","Angola",2011,0.202797192,0.620934469,114,6949,0.010818448,0.007388986,0.070190779,0.003299634,0.012745209,0.070273911,0.016605721,0.025893914,0.011511495,0.035158838,0.013276581,NA,NA,NA,2,0.000906432748538012,2,2,1,1,2,2,2,4,4,4,3,3,5,3,3.5,4,4,4,NA,NA,NA,1.66666666666667,2,3.5,NA,2.38888888888889
"4","Antigua and Barbuda",2011,0.22943958,0.244924846,NA,19987.9,0.024222612,0.032124289,0.166155261,0.016707677,0.02347513,0.060921652,0.042110003,0.102232035,0.05000173,0.055314105,0.040639714,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,5,5,4,5,5,5,5,5,4.875,5,5,5,NA,NA,NA,NA,NA,4.95833333333333,NA,NA
"5","Argentina",2011,1.073186127,0.706951806,130,NA,0.001359353,0.0020692,0.011305652,0.00023132,0.001323041,0.007026624,0.003723803,0.009819575,0.003137892,0.002462299,0.002957488,6.7,10,7,22,0.00399345939321178,4,2,2,4,4,NA,1,1,1,1,1,2,1,1,1.125,1,1,1,2,5,5,2.66666666666667,NA,1.04166666666667,4,NA
"6","Aruba",2011,0.151807071,0.014442193,NA,36015.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0120481927710843,1,1,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA
"7","Australia",2011,0.394256248,0.969048299,130,41763.1,0.004832649,0.007419957,0.042903644,0.006760925,0.006820778,0.035344106,0.010148885,0.03000608,0.024234747,0.005535019,0.020806284,3.3,3.2,5.2,35,0.380115146661269,2,3,4,5,4,5,4,3,3,3,3,5,2,4,3.375,3,4,3,1,3,4,3,4.5,3.45833333333333,2.66666666666667,3.65277777777778
"8","Bahamas",2011,2.491753676,0.193924957,NA,22665.2,0.015254119,0.0152497,0.094553724,0.016677545,0.014234366,0.061126433,0.026609922,0.053482926,0.023445329,0.027170062,0.052727724,NA,NA,NA,6,0,5,1,1,2,NA,4,5,4,4,4,5,4,5,5,4.5,4,5,5,NA,NA,NA,2.33333333333333,NA,4.5,NA,NA
"9","Bahrain",2011,0.835628504,0.546903345,NA,39676.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.000344931921331316,3,2,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"10","Bangladesh",2011,6.123694681,0.384475714,107,2579.3,0.002577359,0.001380973,0.010656719,0.004702445,0.001532962,0.006579532,0.00341945,0.005862285,0.001443714,0.002824215,0.007625294,5,3,1,30,0.951803277869323,5,1,5,5,1,1,3,1,1,1,1,1,2,2,1.5,2,1,1,2,2,1,3.66666666666667,1,1.83333333333333,1.66666666666667,2.16666666666667
"11","Barbados",2011,0.139044786,1.387737305,123,15401.5,0.017830854,0.022854964,0.135514013,0.040908824,0.021925754,0.098812979,0.044102147,0.103575583,0.027626597,0.0360967,0.04173515,NA,NA,NA,2,0.00573770491803279,1,4,2,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,2.33333333333333,3,5,NA,3.44444444444444
"12","Belgium",2011,1.057479032,0.610226462,148,40858.7,0.003969819,0.005926377,0.040513766,0.003093209,0.008199457,0.032853716,0.012233429,0.022118825,0.027912592,0.005662678,0.023575045,NA,NA,NA,10,0.00449348222627575,4,2,2,3,5,5,2,3,3,3,3,5,3,4,3.25,2,3,3,NA,NA,NA,2.66666666666667,5,3.08333333333333,NA,3.58333333333333
"13","Belize",2011,0.240907794,2.858216111,125,7857.2,0.008581759,0.007362996,0.050835278,0.002254132,0.005006622,0.020235009,0.014830271,0.027577546,0.011276042,0.022093828,0.014975062,1,3,1,6,0.0183913515228198,2,5,2,2,3,2,2,3,2,4,3,3,4,3,3,4,3,4,1,2,1,3,2.5,3.33333333333333,1.33333333333333,2.94444444444444
"14","Benin",2011,0.017020913,1.521718287,118,1761.6,0.004151439,0.003822938,0.033766128,0.003612453,0.003469005,0.02434998,0.009521409,0.010834167,0.012016305,0.017131141,0.004706946,NA,NA,NA,6,0.0102965403624382,1,4,2,2,2,1,2,2,3,3,2,3,4,2,2.625,2,2,3,NA,NA,NA,2.33333333333333,1.5,2.20833333333333,NA,2.01388888888889
"15","Bermuda",2011,0.384136828,0.581818015,NA,54984.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bosnia and Herzegovina",2011,0.209788607,1.047554692,124,9265,0.002526551,0.002075337,0.012495691,0.001393427,0.002979434,0.011107513,0.00409438,0.006566163,0.004665566,0.001585471,0.004260924,NA,NA,NA,15,16.295737704918,2,3,5,4,3,3,2,2,1,1,1,2,1,2,1.5,2,1,1,NA,NA,NA,3.33333333333333,3,1.83333333333333,NA,2.72222222222222
"17","Brazil",2011,0.202590063,1.823799508,133,14830.9,0.001054427,0.002071873,0.013383118,0.000744331,0.002810434,0.00814562,0.004376371,0.010199281,0.00240003,0.002512561,0.002634625,1.2,3.2,1.2,45,0.56307046709061,2,4,5,5,4,3,1,2,1,1,1,1,1,1,1.125,1,1,1,1,3,1,3.66666666666667,3.5,1.04166666666667,1.66666666666667,2.73611111111111
"18","Brunei",2011,0.124030882,3.319584536,123,73265.1,0.01043995,0.011030864,0.068418583,0.029943116,0.017390444,0.051853186,0.026398761,0.044637703,0.034813703,0.022862656,0.036872535,NA,NA,NA,NA,NA,1,5,NA,NA,3,5,5,5,4,4,4,5,4,5,4.5,4,4,4,NA,NA,NA,NA,4,4.5,NA,NA
"19","Bulgaria",2011,1.218528597,0.788201922,113,15603,0.002357926,0.002460733,0.014264377,0.003620746,0.003969856,0.017952529,0.005620053,0.013422034,0.006568295,0.002070876,0.005643032,NA,NA,NA,45,0.574368699989608,4,2,5,5,2,3,2,2,2,2,2,2,1,2,1.875,1,1,1,NA,NA,NA,3.66666666666667,2.5,1.625,NA,2.59722222222222
"20","Cote dIvoire",2011,0.987274622,0.126490997,129,2546.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA
"21","Cabo Verde",2011,0.010091783,1.370222125,113,6148,0.007697028,0.006816914,0.047581703,0.006336956,0.009661408,0.062873868,0.013772803,0.025657207,0.010167975,0.026234242,0.010486209,NA,NA,NA,NA,NA,1,4,NA,NA,2,2,3,4,4,3,3,3,4,3,3.375,3,3,4,NA,NA,NA,NA,2,3.125,NA,NA
"22","Cambodia",2011,0.773982711,1.657624381,108,2648.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,29,0.128379089186023,3,4,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3.33333333333333,1,NA,1.66666666666667,NA
"23","Cameroon",2011,0.124801845,1.889109973,114,2614.5,0.014196899,0.008618021,0.061511875,0.004085248,0.01133456,0.077818927,0.024177093,0.027589716,0.014184167,0.028208488,0.00839717,NA,NA,NA,8,0.00370779220779221,1,4,2,3,2,1,3,4,5,4,3,3,5,3,3.75,4,4,4,NA,NA,NA,2.33333333333333,1.5,3.58333333333333,NA,2.47222222222222
"24","Canada",2011,0.506225631,1.733940222,135,41567.4,0.003733397,0.00627309,0.040576036,0.005746573,0.005275706,0.02511006,0.008788773,0.023111318,0.015891902,0.006612982,0.023752564,5.4,4.1,4.7,17,0.184562394951804,3,4,4,4,5,5,3,3,3,3,3,4,3,4,3.25,2,3,3,2,3,3,3.66666666666667,5,3.08333333333333,2.66666666666667,3.91666666666667
"25","Cayman Islands",2011,0.045567557,0.864939681,NA,49902.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Chile",2011,1.978076038,2.079619553,122,20266,0.004853595,0.00518686,0.030414831,0.000876512,0.002935246,0.017119888,0.008535284,0.027471232,0.005840937,0.007121842,0.006356776,3.1,3.2,3.2,23,0.279650645449262,5,5,4,4,3,4,1,2,2,2,3,2,3,2,2.125,3,3,2,1,3,2,4.66666666666667,3.5,2.375,2,3.51388888888889
"27","China",2011,2.146690116,0.973412959,124,10518.1,0.00382194,0.006563146,0.03526578,0.004345235,0.002398074,0.015285341,0.01648505,0.010648079,0.039251979,0.038288985,0.030212009,2.6,9.9,5.2,89,3.1274764951141,5,3,5,5,3,3,3,1,2,4,2,5,5,5,3.375,2,3,3,1,5,4,4.33333333333333,3,3.45833333333333,3.33333333333333,3.59722222222222
"28","Hong Kong",2011,0.139710413,11.9130371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Macao",2011,0.794540385,0.694930704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Colombia",2011,0.831044605,0.472737233,115,11496.5,0.002565831,0.002398648,0.018151463,3.49e-05,0.001822304,0.009910847,0.003773184,0.01421207,0.002406229,0.002459764,0.002808338,10,3,3,23,0.115011833652654,3,1,3,4,2,3,1,1,1,1,2,1,1,1,1.125,2,1,2,4,2,2,2.33333333333333,2.5,1.375,2.66666666666667,2.06944444444444
"31","Comoros",2011,0.006721092,5.712772568,NA,1347.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Congo",2011,1.070064563,0.316510011,98,5632.4,0.02310178,0.010217528,0.086739633,0.00303125,0.022339944,0.084067788,0.026328479,0.046137114,0.013002429,0.05486941,0.020394074,NA,NA,NA,2,0.000928543143118539,4,1,1,1,1,2,2,5,5,4,4,3,5,4,4,5,4,4,NA,NA,NA,2,1.5,4.33333333333333,NA,2.61111111111111
"33","Democratic Republic of the Congo",2011,0.116404417,1.359150499,NA,617.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Cook Islands",2011,0.481280004,0.742386281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.000299490865528601,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"35","Costa Rica",2011,0.327071147,0.651988085,118,13072.1,0.002415046,0.002477534,0.017586988,0.000122395,0.001773319,0.007257914,0.003522357,0.012758999,0.003443831,0.002952176,0.004224655,10,3,3,14,1.14979463137369,2,2,5,4,2,3,1,1,1,1,2,2,2,2,1.5,1,1,2,4,2,2,3,2.5,1.5,2.66666666666667,2.33333333333333
"36","Croatia",2011,2.680663909,0.26946833,123,20571.2,0.009227834,0.008941725,0.05411009,0.01180932,0.013557177,0.072185691,0.017049219,0.044940987,0.026020977,0.006294607,0.019908163,NA,NA,NA,24,0.179764752506505,5,1,4,4,3,4,4,4,4,4,4,5,3,4,4,4,4,4,NA,NA,NA,3.33333333333333,3.5,4,NA,3.61111111111111
"37","Cuba",2011,6.740348821,0.464940617,131,18924.8,0.001356567,0.001280082,0.009286474,0.000513954,0.001314709,0.004869686,0.002511621,0.005313779,0.00139525,0.001777503,0.001785732,NA,NA,NA,13,1.02040155977765,5,1,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,3.66666666666667,4,1,NA,2.88888888888889
"38","Curaçcao",2011,0.634649723,9.822680637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cyprus",2011,1.654181441,0.308183499,104,32983.1,0.004110385,0.006464056,0.0381797,0.008040761,0.008579442,0.0371627,0.010722599,0.030029654,0.01482311,0.00594109,0.018240501,NA,NA,NA,15,3.92843434343434,4,1,5,4,1,5,4,3,3,3,4,4,3,4,3.5,2,3,3,NA,NA,NA,3.33333333333333,3,3.16666666666667,NA,3.16666666666667
"40","Denmark",2011,3.3491108,0.319426369,133,43314.1,0.011433866,0.008317283,0.040445938,0.005261984,0.013456548,0.064140969,0.013129243,0.03907607,0.018258445,0.003251138,0.015920805,10,3.3,6,24,0.050137704899726,5,1,3,4,4,5,3,4,4,3,4,4,2,4,3.5,4,4,3,4,3,4,3,4.5,3.83333333333333,3.66666666666667,3.77777777777778
"41","Djibouti",2011,0.135877863,2.296500365,106,2783,0.00222501,0.001151754,0.009200173,0.000331701,0.001945377,0.016667681,0.003621699,0.006845631,0.00100913,0.007375514,0.00085959,NA,NA,NA,NA,NA,1,5,NA,NA,1,1,1,1,2,1,1,1,3,1,1.375,1,1,1,NA,NA,NA,NA,1,1.125,NA,NA
"42","Dominica",2011,1.775420006,0.02965346,NA,10189.4,0.024371064,0.014894492,0.094785683,0.002676987,0.008079677,0.041566949,0.018614409,0.057497821,0.012406781,0.011434778,0.018432992,NA,NA,NA,3,0.00903614457831325,5,1,2,1,NA,3,2,3,3,4,5,3,4,4,3.5,5,5,5,NA,NA,NA,2.66666666666667,NA,4.16666666666667,NA,NA
"43","Dominican Republic",2011,0.485824058,1.943557043,107,11375.6,0.002619014,0.003941623,0.031101063,0.000219791,0.003639428,0.013627612,0.007391367,0.017474011,0.005055298,0.006657781,0.006023669,NA,NA,NA,23,0.153366654766155,3,4,4,4,1,3,1,2,2,2,2,2,3,2,2,2,2,3,NA,NA,NA,3.66666666666667,2,2,NA,2.55555555555556
"44","Ecuador",2011,1.367994367,0.964945031,110,9927,0.002546618,0.003008258,0.019795613,4.13e-05,0.003328438,0.010373473,0.003817369,0.012038944,0.003357847,0.003365322,0.005722321,9.9,3,1,16,0.611144679422625,4,3,5,4,1,3,1,2,1,1,2,2,2,2,1.625,2,2,2,3,2,1,4,2,1.875,2,2.625
"45","Egypt",2011,1.161678431,0.155713078,151,10071.2,0.00560642,0.003479733,0.023289806,0.005402607,0.005358655,0.020686846,0.009909145,0.017244883,0.002951067,0.003914237,0.00790999,9.6,2.9,4.9,16,2.62903118381266,4,1,5,4,5,3,3,3,2,3,2,1,2,2,2.25,3,2,2,3,1,3,3.33333333333333,4,2.41666666666667,2.33333333333333,3.25
"46","El Salvador",2011,2.188674273,1.697206269,113,7596.5,0.002478567,0.002792648,0.020800701,0.000434598,0.00241111,0.009854709,0.004526625,0.009560261,0.002250866,0.003119112,0.003473403,NA,NA,NA,11,0.0899707079825353,5,4,3,3,2,2,1,1,1,2,1,1,2,1,1.25,1,2,2,NA,NA,NA,4,2,1.08333333333333,NA,2.36111111111111
"47","Equatorial Guinea",2011,0.154427582,0.377033481,NA,36754.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.00210822206605762,2,1,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA
"48","Eritrea",2011,1.200593784,2.766962575,NA,1411.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,NA,NA,NA
"49","Estonia",2011,1.00252512,0.583666443,128,23954.9,0.005608803,0.00420204,0.024500043,0.002297016,0.00514228,0.02325572,0.006113743,0.016962121,0.006112582,0.002213317,0.007516339,NA,NA,NA,14,0.00477416340881709,4,2,2,4,4,4,2,3,3,2,2,2,1,2,2.125,3,2,2,NA,NA,NA,2.66666666666667,4,2.375,NA,3.01388888888889
"50","Falkland Islands",2011,0.001417456,8.520430215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Faroe Islands",2011,3.07075439,0.53617443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,3,2,0.170019849191131,5,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3.33333333333333,NA,NA,2.66666666666667,NA
"52","Fiji",2011,0.863213773,0.387019666,123,7486.8,0.032426385,0.020521683,0.127946481,0.033601009,0.029481294,0.148179576,0.079831693,0.104792761,0.019143868,0.031716975,0.024702291,NA,NA,NA,NA,NA,3,1,NA,NA,3,2,5,5,5,5,5,4,5,4,4.75,5,5,5,NA,NA,NA,NA,2.5,4.58333333333333,NA,NA
"53","Finland",2011,2.003085725,0.311392396,128,40251.4,0.017323196,0.012081813,0.055734184,0.007648677,0.016099391,0.081038838,0.021457434,0.052324798,0.023816792,0.004764462,0.018517099,10,3,3,5,0.0732142857142857,5,1,3,2,4,5,4,5,5,4,4,5,2,4,4.125,5,4,4,4,2,2,3,4.5,4.375,2.66666666666667,3.95833333333333
"54","France",2011,0.793683729,1.184412413,142,37325.3,0.007318818,0.01070294,0.059178148,0.008824145,0.013469504,0.056771683,0.018154888,0.041701697,0.049537235,0.007498749,0.033930981,3.8,9.8,5.6,58,0.392006483785335,3,3,4,5,5,5,4,4,4,4,4,5,3,5,4.125,3,4,4,1,5,4,3.33333333333333,5,4.04166666666667,3.33333333333333,4.125
"55","French Guiana",2011,0.341997063,0.262773308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.000985221674876847,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA
"56","French Polynesia",2011,0.201877151,0.818076726,NA,NA,0.022081098,0.027061162,0.14859076,0.03661171,0.03883552,0.136960723,0.073511449,0.119495294,0.049754969,0.053451247,0.056883621,NA,NA,NA,10,0.227117958294429,2,2,4,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,2.66666666666667,NA,5,NA,NA
"57","Gabon",2011,0.070511807,3.276896795,122,17100.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.00355949838453535,1,5,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,3.5,NA,NA,NA
"58","Gambia",2011,6.519922974,0.71479985,127,1532.5,0.016032732,0.012927133,0.111877325,0.00413068,0.030005089,0.151212822,0.047843944,0.067498892,0.014501163,0.103661797,0.018466054,NA,NA,NA,5,0.000795180722891566,5,2,1,2,4,1,3,5,5,5,5,4,5,4,4.5,5,4,5,NA,NA,NA,2.66666666666667,2.5,4.5,NA,3.22222222222222
"59","Georgia",2011,0.254426412,0.547173908,110,6322.5,0.006179627,0.004489554,0.021688704,0.010303985,0.00340506,0.018076665,0.009223499,0.012757851,0.004246075,0.003542944,0.004009738,NA,NA,NA,7,0.0244848758805138,2,2,3,2,1,2,4,2,2,3,2,2,2,2,2.375,3,2,2,NA,NA,NA,2.33333333333333,1.5,2.45833333333333,NA,2.09722222222222
