"","country","species","native","fishmeal","intensity","hatchery","habitat","waste"
"1","Albania","European seabass",NA,NA,NA,NA,NA,NA
"2","Albania","Gilthead seabream",NA,NA,NA,NA,NA,NA
"3","Albania","Kuruma prawn",NA,NA,NA,NA,NA,NA
"4","Argentina","Blue mussel",1,1,0.7,0.5,0.7,1
"5","Argentina","Longrayed whiptail",NA,NA,NA,NA,NA,NA
"6","Argentina","Pacific cupped oyster",0.3,1,0.5,0.7,0.7,1
"7","Argentina","River Plata mussel",0.7,1,0.7,0.5,0.7,1
"8","Australia","Abalones nei",NA,NA,NA,NA,NA,NA
"9","Australia","Aquatic invertebrates nei",NA,NA,NA,NA,NA,NA
"10","Australia","Atlantic salmon",0.1,0.1,0.1,0.3,0.5,0.3
"11","Australia","Australian mussel",NA,NA,NA,NA,NA,NA
"12","Australia","Brown tiger prawn",NA,NA,NA,NA,NA,NA
"13","Australia","Chinook(=Spring=King) salmon",NA,NA,NA,NA,NA,NA
"14","Australia","Cupped oysters nei",0.5,1,0.7,0.7,0.9,1
"15","Australia","Eastern king prawn",NA,NA,NA,NA,NA,NA
"16","Australia","Flat and cupped oysters nei",NA,NA,NA,NA,NA,NA
"17","Australia","Flat oysters nei",0.5,1,0.7,0.7,0.7,0.9
"18","Australia","Giant tiger prawn",1,0.1,0.1,0.5,0.5,0.1
"19","Australia","Marine crustaceans nei",NA,NA,NA,NA,NA,NA
"20","Australia","Marine fishes nei",NA,NA,NA,NA,NA,NA
"21","Australia","Marine fishes nei",NA,NA,NA,NA,NA,NA
"22","Australia","Pacific cupped oyster",0.1,1,1,1,0.7,1
"23","Australia","Rainbow trout",NA,NA,NA,NA,NA,NA
"24","Australia","Southern Australia scallop",NA,NA,NA,NA,NA,NA
"25","Australia","Southern bluefin tuna",1,0.1,0.1,0.1,0.3,0.1
"26","Australia","Sydney cupped oyster",NA,NA,NA,NA,NA,NA
"27","Australia","Sydney cupped oyster",NA,NA,NA,NA,NA,NA
"28","Bahamas","Brine shrimp",NA,NA,NA,NA,NA,NA
"29","Bahamas","Cobia",NA,NA,NA,NA,NA,NA
"30","Bahamas","Florida pompano",NA,NA,NA,NA,NA,NA
"31","Bahamas","Red drum",NA,NA,NA,NA,NA,NA
"32","Bahrain","Barramundi(=Giant seaperch)",NA,NA,NA,NA,NA,NA
"33","Bahrain","Gilthead seabream",NA,NA,NA,NA,NA,NA
"34","Bahrain","Mangrove red snapper",NA,NA,NA,NA,NA,NA
"35","Bahrain","Orange-spotted grouper",NA,NA,NA,NA,NA,NA
"36","Bahrain","Sobaity seabream",NA,NA,NA,NA,NA,NA
"37","Bahrain","White-spotted spinefoot",NA,NA,NA,NA,NA,NA
"38","Belize","Cobia",NA,NA,NA,NA,NA,NA
"39","Belize","Eucheuma seaweeds nei",NA,NA,NA,NA,NA,NA
"40","Belize","Palinurid spiny lobsters nei",NA,NA,NA,NA,NA,NA
"41","Bonaire/S.Eustatius/Saba","Cobia",NA,NA,NA,NA,NA,NA
"42","Bosnia and Herzegovina","Common dentex",NA,NA,NA,NA,NA,NA
"43","Bosnia and Herzegovina","European flat oyster",NA,NA,NA,NA,NA,NA
"44","Bosnia and Herzegovina","European seabass",NA,NA,NA,NA,NA,NA
"45","Bosnia and Herzegovina","Gilthead seabream",NA,NA,NA,NA,NA,NA
"46","Bosnia and Herzegovina","Marine fishes nei",NA,NA,NA,NA,NA,NA
"47","Bosnia and Herzegovina","Mediterranean mussel",NA,NA,NA,NA,NA,NA
"48","Brazil","Cupped oysters nei",0.7,1,0.7,0.7,0.7,1
"49","Brazil","Elkhorn sea moss",NA,NA,NA,NA,NA,NA
"50","Brazil","Gracilaria seaweeds",NA,NA,NA,NA,NA,NA
"51","Brazil","Groupers nei",0.9,0.1,0.5,0.5,0.5,0.4
"52","Brazil","Marine fishes nei",NA,NA,NA,NA,NA,NA
"53","Brazil","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"54","Brazil","Mullets nei",NA,NA,NA,NA,NA,NA
"55","Brazil","Pacific lion's paw",NA,NA,NA,NA,NA,NA
"56","Brazil","Scallops nei",NA,NA,NA,NA,NA,NA
"57","Brazil","Snooks(=Robalos) nei",NA,NA,NA,NA,NA,NA
"58","Brazil","South American rock mussel",NA,NA,NA,NA,NA,NA
"59","Brazil","Whiteleg shrimp",0.1,0.3,0.3,0.5,0.1,0.1
"60","Bulgaria","Mediterranean mussel",NA,NA,NA,NA,NA,NA
"61","Cambodia","Barramundi(=Giant seaperch)",NA,NA,NA,NA,NA,NA
"62","Cambodia","Blood cockle",NA,NA,NA,NA,NA,NA
"63","Cambodia","Eucheuma seaweeds nei",NA,NA,NA,NA,NA,NA
"64","Cambodia","Green mussel",NA,NA,NA,NA,NA,NA
"65","Cambodia","Marine fishes nei",NA,NA,NA,NA,NA,NA
"66","Cambodia","Orange-spotted grouper",NA,NA,NA,NA,NA,NA
"67","Cambodia","Snappers nei",NA,NA,NA,NA,NA,NA
"68","Canada","American cupped oyster",NA,NA,NA,NA,NA,NA
"69","Canada","Atlantic bluefin tuna",1,1,0.5,0.1,0.3,0.1
"70","Canada","Atlantic cod",1,0.1,0.3,0.3,0.3,0.3
"71","Canada","Atlantic salmon",NA,NA,NA,NA,NA,NA
"72","Canada","Atlantic salmon",NA,NA,NA,NA,NA,NA
"73","Canada","Blue mussel",1,1,0.9,0.8,0.8,1
"74","Canada","Blue mussel",1,1,0.9,0.8,0.8,1
"75","Canada","Butter clam",NA,NA,NA,NA,NA,NA
"76","Canada","Chinook(=Spring=King) salmon",NA,NA,NA,NA,NA,NA
"77","Canada","Coho(=Silver) salmon",NA,NA,NA,NA,NA,NA
"78","Canada","Japanese carpet shell",NA,NA,NA,NA,NA,NA
"79","Canada","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"80","Canada","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"81","Canada","Pacific cupped oyster",0.1,1,0.1,0.5,0.7,1
"82","Canada","Rainbow trout",NA,NA,NA,NA,NA,NA
"83","Canada","Salmonids nei",NA,NA,NA,NA,NA,NA
"84","Canada","Scallops nei",NA,NA,NA,NA,NA,NA
"85","Canada","Scallops nei",NA,NA,NA,NA,NA,NA
"86","Channel Islands","Blue mussel",NA,NA,NA,NA,NA,NA
"87","Channel Islands","European flat oyster",NA,NA,NA,NA,NA,NA
"88","Channel Islands","Great Atlantic scallop",NA,NA,NA,NA,NA,NA
"89","Channel Islands","Grooved carpet shell",NA,NA,NA,NA,NA,NA
"90","Channel Islands","Pacific cupped oyster",NA,NA,NA,NA,NA,NA
"91","Channel Islands","Tuberculate abalone",NA,NA,NA,NA,NA,NA
"92","Channel Islands","Turbot",NA,NA,NA,NA,NA,NA
"93","Chile","[Porphyra columbina]",NA,NA,NA,NA,NA,NA
"94","Chile","Atlantic salmon",0.1,0.1,0.1,0.1,0.1,0.2
"95","Chile","Chilean flat oyster",NA,NA,NA,NA,NA,NA
"96","Chile","Chilean mussel",NA,NA,NA,NA,NA,NA
"97","Chile","Chinook(=Spring=King) salmon",NA,NA,NA,NA,NA,NA
"98","Chile","Cholga mussel",NA,NA,NA,NA,NA,NA
"99","Chile","Choro mussel",NA,NA,NA,NA,NA,NA
"100","Chile","Coho(=Silver) salmon",NA,NA,NA,NA,NA,NA
"101","Chile","Giant kelp",NA,NA,NA,NA,NA,NA
"102","Chile","Gracilaria seaweeds",1,1,1,0.7,1,1
"103","Chile","Japanese abalone",NA,NA,NA,NA,NA,NA
"104","Chile","Masu(=Cherry) salmon",NA,NA,NA,NA,NA,NA
"105","Chile","Pacific cupped oyster",0.1,1,0.7,0.5,0.7,0.1
"106","Chile","Peruvian calico scallop",NA,NA,NA,NA,NA,NA
"107","Chile","Rainbow trout",NA,NA,NA,NA,NA,NA
"108","Chile","Red abalone",NA,NA,NA,NA,NA,NA
"109","Chile","Yellowtail amberjack",NA,NA,NA,NA,NA,NA
"110","China","Abalones nei",NA,NA,NA,NA,NA,NA
"111","China","Amberjacks nei",NA,NA,NA,NA,NA,NA
"112","China","Aquatic invertebrates nei",NA,NA,NA,NA,NA,NA
"113","China","Blood cockle",1,1,0.7,0.3,0.5,0.7
"114","China","Bright green nori",NA,NA,NA,NA,NA,NA
"115","China","Cobia",NA,NA,NA,NA,NA,NA
"116","China","Constricted tagelus",NA,NA,NA,NA,NA,NA
"117","China","Cupped oysters nei",NA,NA,NA,NA,NA,NA
"118","China","Eucheuma seaweeds nei",NA,NA,NA,NA,NA,NA
"119","China","Fusiform sargassum",NA,NA,NA,NA,NA,NA
"120","China","Gracilaria seaweeds",NA,NA,NA,NA,NA,NA
"121","China","Groupers nei",0.9,0.1,0.5,0.5,0.5,0.4
"122","China","Indo-Pacific swamp crab",NA,NA,NA,NA,NA,NA
"123","China","Japanese carpet shell",NA,NA,NA,NA,NA,NA
"124","China","Japanese isinglass",NA,NA,NA,NA,NA,NA
"125","China","Japanese kelp",NA,NA,NA,NA,NA,NA
"126","China","Japanese sea cucumber",NA,NA,NA,NA,NA,NA
"127","China","Japanese seabass",NA,NA,NA,NA,NA,NA
"128","China","Jellyfishes nei",NA,NA,NA,NA,NA,NA
"129","China","Large yellow croaker",NA,NA,NA,NA,NA,NA
"130","China","Lefteye flounders nei",NA,NA,NA,NA,NA,NA
"131","China","Marine crabs nei",NA,NA,NA,NA,NA,NA
"132","China","Marine fishes nei",NA,NA,NA,NA,NA,NA
"133","China","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"134","China","Nori nei",NA,NA,NA,NA,NA,NA
"135","China","Pearl oyster shells nei",NA,NA,NA,NA,NA,NA
"136","China","Pen shells nei",NA,NA,NA,NA,NA,NA
"137","China","Porgies, seabreams nei",NA,NA,NA,NA,NA,NA
"138","China","Portunus swimcrabs nei",NA,NA,NA,NA,NA,NA
"139","China","Red drum",0.1,0.1,0.2,0.5,0.4,0.5
"140","China","Righteye flounders nei",NA,NA,NA,NA,NA,NA
"141","China","Scallops nei",NA,NA,NA,NA,NA,NA
"142","China","Sea mussels nei",NA,NA,NA,NA,NA,NA
"143","China","Sea snails",NA,NA,NA,NA,NA,NA
"144","China","Sea urchins nei",NA,NA,NA,NA,NA,NA
"145","China","Seaweeds nei",NA,NA,NA,NA,NA,NA
"146","China","Snubnose pompano",NA,NA,NA,NA,NA,NA
"147","China","Tiger pufferfish",NA,NA,NA,NA,NA,NA
"148","China","Turbot",NA,NA,NA,NA,NA,NA
"149","China","Wakame",NA,NA,NA,NA,NA,NA
"150","China, Hong Kong SAR","Areolate grouper",NA,NA,NA,NA,NA,NA
"151","China, Hong Kong SAR","Barramundi(=Giant seaperch)",NA,NA,NA,NA,NA,NA
"152","China, Hong Kong SAR","Cupped oysters nei",NA,NA,NA,NA,NA,NA
"153","China, Hong Kong SAR","Goldlined seabream",NA,NA,NA,NA,NA,NA
"154","China, Hong Kong SAR","Greasy grouper",NA,NA,NA,NA,NA,NA
"155","China, Hong Kong SAR","Hong Kong grouper",NA,NA,NA,NA,NA,NA
"156","China, Hong Kong SAR","Mangrove red snapper",NA,NA,NA,NA,NA,NA
"157","China, Hong Kong SAR","Marine fishes nei",NA,NA,NA,NA,NA,NA
"158","China, Hong Kong SAR","Orange-spotted grouper",NA,NA,NA,NA,NA,NA
"159","China, Hong Kong SAR","Russell's snapper",NA,NA,NA,NA,NA,NA
"160","China, Hong Kong SAR","Silver seabream",NA,NA,NA,NA,NA,NA
"161","China, Hong Kong SAR","Snappers nei",NA,NA,NA,NA,NA,NA
"162","China, Hong Kong SAR","Snubnose pompano",NA,NA,NA,NA,NA,NA
"163","Colombia","Cobia",NA,NA,NA,NA,NA,NA
"164","Colombia","Cupped oysters nei",0.5,1,0.7,0.7,0.7,1
"165","Colombia","Tarpon",NA,NA,NA,NA,NA,NA
"166","Colombia","Whiteleg shrimp",NA,NA,NA,NA,NA,NA
"167","Colombia","Whiteleg shrimp",NA,NA,NA,NA,NA,NA
"168","Cook Islands","Blacklip pearl oyster",NA,NA,NA,NA,NA,NA
"169","Cook Islands","Giant clams nei",NA,NA,NA,NA,NA,NA
"170","Costa Rica","Natantian decapods nei",NA,NA,NA,NA,NA,NA
"171","Croatia","Atlantic bluefin tuna",NA,NA,NA,NA,NA,NA
"172","Croatia","Common dentex",NA,NA,NA,NA,NA,NA
"173","Croatia","European flat oyster",NA,NA,NA,NA,NA,NA
"174","Croatia","European seabass",NA,NA,NA,NA,NA,NA
"175","Croatia","Gilthead seabream",NA,NA,NA,NA,NA,NA
"176","Croatia","Great Mediterranean scallop",NA,NA,NA,NA,NA,NA
"177","Croatia","Marine fishes nei",NA,NA,NA,NA,NA,NA
"178","Croatia","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"179","Croatia","Meagre",NA,NA,NA,NA,NA,NA
"180","Croatia","Mediterranean mussel",NA,NA,NA,NA,NA,NA
"181","Croatia","Pargo breams nei",NA,NA,NA,NA,NA,NA
"182","Croatia","Rainbow trout",NA,NA,NA,NA,NA,NA
"183","Croatia","Sharpsnout seabream",NA,NA,NA,NA,NA,NA
"184","Croatia","Turbot",NA,NA,NA,NA,NA,NA
"185","Cuba","Mangrove cupped oyster",NA,NA,NA,NA,NA,NA
"186","Cuba","Tropical spiny lobsters nei",NA,NA,NA,NA,NA,NA
"187","Cyprus","Atlantic bluefin tuna",NA,NA,NA,NA,NA,NA
"188","Cyprus","European seabass",NA,NA,NA,NA,NA,NA
"189","Cyprus","Gilthead seabream",NA,NA,NA,NA,NA,NA
"190","Cyprus","Indian white prawn",NA,NA,NA,NA,NA,NA
"191","Cyprus","Japanese seabream",NA,NA,NA,NA,NA,NA
"192","Cyprus","Marbled spinefoot",NA,NA,NA,NA,NA,NA
"193","Cyprus","Meagre",NA,NA,NA,NA,NA,NA
"194","Cyprus","Red porgy",NA,NA,NA,NA,NA,NA
"195","Cyprus","Sharpsnout seabream",NA,NA,NA,NA,NA,NA
"196","Cyprus","Shi drum",NA,NA,NA,NA,NA,NA
"197","Denmark","Atlantic cod",NA,NA,NA,NA,NA,NA
"198","Denmark","Atlantic salmon",1,0.3,0.1,0.5,0.5,0.7
"199","Denmark","Blue mussel",1,1,0.9,0.8,0.7,1
"200","Denmark","Brown seaweeds",NA,NA,NA,NA,NA,NA
"201","Denmark","European eel",1,0.3,0.3,0.3,0.6,0.7
"202","Denmark","European flounder",NA,NA,NA,NA,NA,NA
"203","Denmark","Marine fishes nei",NA,NA,NA,NA,NA,NA
"204","Denmark","Rainbow trout",NA,NA,NA,NA,NA,NA
"205","Denmark","Sea belt",NA,NA,NA,NA,NA,NA
"206","Denmark","Turbot",NA,NA,NA,NA,NA,NA
"207","Dominican Republic","American cupped oyster",NA,NA,NA,NA,NA,NA
"208","Dominican Republic","Cobia",NA,NA,NA,NA,NA,NA
"209","Dominican Republic","European seabass",NA,NA,NA,NA,NA,NA
"210","Dominican Republic","Florida pompano",NA,NA,NA,NA,NA,NA
"211","Dominican Republic","Gilthead seabream",NA,NA,NA,NA,NA,NA
"212","Dominican Republic","Penaeus shrimps nei",NA,NA,NA,NA,NA,NA
"213","Ecuador","Marine fishes nei",NA,NA,NA,NA,NA,NA
"214","Ecuador","Pacific cupped oyster",NA,NA,NA,NA,NA,NA
"215","Ecuador","Red drum",0.1,0.1,0.3,0.5,0.5,0.5
"216","Ecuador","Scallops nei",NA,NA,NA,NA,NA,NA
"217","El Salvador","Black ark",NA,NA,NA,NA,NA,NA
"218","El Salvador","Cupped oysters nei",NA,NA,NA,NA,NA,NA
"219","El Salvador","Grand ark",NA,NA,NA,NA,NA,NA
"220","Estonia","Rainbow trout",NA,NA,NA,NA,NA,NA
"221","Falkland Is.(Malvinas)","Blue mussel",NA,NA,NA,NA,NA,NA
"222","Falkland Is.(Malvinas)","Pacific cupped oyster",NA,NA,NA,NA,NA,NA
"223","Faroe Islands","Atlantic salmon",NA,NA,NA,NA,NA,NA
"224","Faroe Islands","Rainbow trout",NA,NA,NA,NA,NA,NA
"225","Fiji, Republic of","Anadara clams nei",NA,NA,NA,NA,NA,NA
"226","Fiji, Republic of","Eucheuma seaweeds nei",NA,NA,NA,NA,NA,NA
"227","Fiji, Republic of","Green mussel",NA,NA,NA,NA,NA,NA
"228","Fiji, Republic of","Pearl oyster shells nei",NA,NA,NA,NA,NA,NA
"229","France","Atlantic salmon",1,0.3,0.2,0.5,0.5,0.3
"230","France","Blue mussel",1,1,0.9,0.8,0.7,1
"231","France","Blue mussel",1,1,0.9,0.8,0.7,1
"232","France","Clams, etc. nei",NA,NA,NA,NA,NA,NA
"233","France","Clams, etc. nei",NA,NA,NA,NA,NA,NA
"234","France","Coho(=Silver) salmon",NA,NA,NA,NA,NA,NA
"235","France","Common edible cockle",NA,NA,NA,NA,NA,NA
"236","France","Common edible cockle",NA,NA,NA,NA,NA,NA
"237","France","European flat oyster",1,1,0.7,0.5,0.7,1
"238","France","European flat oyster",1,1,0.7,0.5,0.7,1
"239","France","European seabass",1,0.3,0.5,0.7,0.5,0.5
"240","France","European seabass",1,0.3,0.5,0.7,0.5,0.5
"241","France","Finfishes nei",NA,NA,NA,NA,NA,NA
"242","France","Gilthead seabream",1,0.1,0.1,0.5,0.3,0.1
"243","France","Gilthead seabream",1,0.1,0.1,0.5,0.3,0.1
"244","France","Great Atlantic scallop",NA,NA,NA,NA,NA,NA
"245","France","Grooved carpet shell",NA,NA,NA,NA,NA,NA
"246","France","Grooved carpet shell",NA,NA,NA,NA,NA,NA
"247","France","Harpoon seaweeds",NA,NA,NA,NA,NA,NA
"248","France","Japanese carpet shell",NA,NA,NA,NA,NA,NA
"249","France","Japanese carpet shell",NA,NA,NA,NA,NA,NA
"250","France","Marine fishes nei",NA,NA,NA,NA,NA,NA
"251","France","Marine fishes nei",NA,NA,NA,NA,NA,NA
"252","France","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"253","France","Meagre",NA,NA,NA,NA,NA,NA
"254","France","Mediterranean mussel",NA,NA,NA,NA,NA,NA
"255","France","Mediterranean mussel",NA,NA,NA,NA,NA,NA
"256","France","Pacific cupped oyster",0.1,1,1,0.5,0.5,0.1
"257","France","Pacific cupped oyster",0.1,1,1,0.5,0.5,0.1
"258","France","Periwinkles nei",NA,NA,NA,NA,NA,NA
"259","France","Rainbow trout",NA,NA,NA,NA,NA,NA
"260","France","Sea trout",NA,NA,NA,NA,NA,NA
"261","France","Seaweeds nei",NA,NA,NA,NA,NA,NA
"262","France","Senegalese sole",NA,NA,NA,NA,NA,NA
"263","France","Tuberculate abalone",NA,NA,NA,NA,NA,NA
"264","France","Turbot",NA,NA,NA,NA,NA,NA
"265","France","Wakame nei",NA,NA,NA,NA,NA,NA
"266","France","White seabream",NA,NA,NA,NA,NA,NA
"267","French Polynesia","Barramundi(=Giant seaperch)",NA,NA,NA,NA,NA,NA
"268","French Polynesia","Blacklip pearl oyster",NA,NA,NA,NA,NA,NA
"269","French Polynesia","Blue shrimp",NA,NA,NA,NA,NA,NA
"270","French Polynesia","Marine fishes nei",NA,NA,NA,NA,NA,NA
"271","French Polynesia","Orbicular batfish",NA,NA,NA,NA,NA,NA
"272","French Polynesia","Pearl oyster shells nei",NA,NA,NA,NA,NA,NA
"273","French Polynesia","Sea mussels nei",NA,NA,NA,NA,NA,NA
"274","French Polynesia","Sixfinger threadfin",NA,NA,NA,NA,NA,NA
"275","Germany","Bastard halibut",NA,NA,NA,NA,NA,NA
"276","Germany","Blue mussel",1,1,0.9,0.8,0.7,1
"277","Germany","Clams, etc. nei",NA,NA,NA,NA,NA,NA
"278","Germany","Common edible cockle",NA,NA,NA,NA,NA,NA
"279","Germany","Pacific cupped oyster",0.1,1,1,0.5,0.7,0.1
"280","Germany","Turbot",NA,NA,NA,NA,NA,NA
"281","Greece","Atlantic bluefin tuna",NA,NA,NA,NA,NA,NA
"282","Greece","Common dentex",NA,NA,NA,NA,NA,NA
"283","Greece","Common pandora",NA,NA,NA,NA,NA,NA
"284","Greece","European eel",1,0.3,0.3,0.3,0.6,0.7
"285","Greece","European flat oyster",1,1,0.7,0.5,0.7,1
"286","Greece","European seabass",1,0.3,0.5,0.5,0.5,0.1
"287","Greece","Flathead grey mullet",1,0.3,0.5,0.5,0.5,0.3
"288","Greece","Gilthead seabream",1,0.1,0.1,0.3,0.3,0.1
"289","Greece","Kuruma prawn",0.1,0.3,0.5,0.5,0.5,0.5
"290","Greece","Marine fishes nei",NA,NA,NA,NA,NA,NA
"291","Greece","Meagre",NA,NA,NA,NA,NA,NA
"292","Greece","Mediterranean mussel",NA,NA,NA,NA,NA,NA
"293","Greece","Red porgy",NA,NA,NA,NA,NA,NA
"294","Greece","Sciaenas nei",NA,NA,NA,NA,NA,NA
"295","Greece","Sharpsnout seabream",NA,NA,NA,NA,NA,NA
"296","Greece","Shi drum",NA,NA,NA,NA,NA,NA
"297","Greece","Venus clams nei",NA,NA,NA,NA,NA,NA
"298","Greece","White seabream",NA,NA,NA,NA,NA,NA
"299","Guadeloupe","Red drum",NA,NA,NA,NA,NA,NA
"300","Iceland","Abalones nei",0.3,0.7,0.7,0.7,0.7,0.5
"301","Iceland","Atlantic cod",1,0.4,0.5,0.8,0.6,0.5
"302","Iceland","Atlantic halibut",1,0.3,0.5,0.8,0.7,0.5
"303","Iceland","Atlantic salmon",0.1,0.5,0.5,0.8,0.6,0.5
"304","Iceland","Atlantic wolffish",1,0.3,0.5,0.8,0.7,0.5
"305","Iceland","Blue mussel",0.7,1,0.7,0.8,0.8,1
"306","Iceland","European seabass",0.5,NA,0.5,0.8,0.7,0.5
"307","Iceland","Haddock",1,0.3,0.5,0.8,0.7,0.5
"308","Iceland","Rainbow trout",1,0.5,0.5,0.8,0.6,0.5
"309","Iceland","Spotted wolffish",1,0.3,0.6,0.8,0.7,0.5
"310","Iceland","Turbot",1,0.3,0.6,0.8,0.7,0.5
"311","India","Elkhorn sea moss",NA,NA,NA,NA,NA,NA
"312","India","Green mussel",NA,NA,NA,NA,NA,NA
"313","India","Indian backwater oyster",NA,NA,NA,NA,NA,NA
"314","India","Rooster venus",NA,NA,NA,NA,NA,NA
"315","Indonesia","Barramundi(=Giant seaperch)",NA,NA,NA,NA,NA,NA
"316","Indonesia","Eucheuma seaweeds nei",NA,NA,NA,NA,NA,NA
"317","Indonesia","Groupers nei",0.9,0.1,0.5,0.5,0.3,0.4
"318","Indonesia","Marine fishes nei",NA,NA,NA,NA,NA,NA
"319","Indonesia","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"320","Indonesia","Milkfish",1,0.7,1,0.3,0.3,0.3
"321","Indonesia","Pearl oyster shells nei",NA,NA,NA,NA,NA,NA
"322","Indonesia","Penguin wing oyster",NA,NA,NA,NA,NA,NA
"323","Indonesia","Red seaweeds",NA,NA,NA,NA,NA,NA
"324","Indonesia","Sea cucumbers nei",NA,NA,NA,NA,NA,NA
"325","Indonesia","Tropical spiny lobsters nei",NA,NA,NA,NA,NA,NA
"326","Ireland","Abalones nei",NA,NA,NA,NA,NA,NA
"327","Ireland","Aquatic invertebrates nei",NA,NA,NA,NA,NA,NA
"328","Ireland","Atlantic salmon",1,0.3,0.3,0.5,0.5,0.5
"329","Ireland","Babberlocks",NA,NA,NA,NA,NA,NA
"330","Ireland","Blue mussel",1,1,0.9,0.8,0.8,1
"331","Ireland","Brown seaweeds",NA,NA,NA,NA,NA,NA
"332","Ireland","Dulse",NA,NA,NA,NA,NA,NA
"333","Ireland","European flat oyster",1,1,0.7,0.5,0.7,1
"334","Ireland","Great Atlantic scallop",NA,NA,NA,NA,NA,NA
"335","Ireland","Japanese carpet shell",NA,NA,NA,NA,NA,NA
"336","Ireland","Marine molluscs nei",NA,NA,NA,NA,NA,NA
"337","Ireland","Pacific cupped oyster",0.1,1,0.7,0.5,0.7,1
"338","Ireland","Rainbow trout",NA,NA,NA,NA,NA,NA
"339","Ireland","Stony sea urchin",NA,NA,NA,NA,NA,NA
"340","Ireland","Tangle",NA,NA,NA,NA,NA,NA
"341","Ireland","Turbot",NA,NA,NA,NA,NA,NA
"342","Israel","Cupped oysters nei",NA,NA,NA,NA,NA,NA
"343","Israel","European seabass",NA,NA,NA,NA,NA,NA
"344","Israel","Gilthead seabream",NA,NA,NA,NA,NA,NA
"345","Israel","Marine fishes nei",NA,NA,NA,NA,NA,NA
"346","Israel","Red drum",NA,NA,NA,NA,NA,NA
"347","Israel","Striped bass, hybrid",NA,NA,NA,NA,NA,NA
"348","Israel","Tilapias nei",NA,NA,NA,NA,NA,NA
"349","Italy","Atlantic bluefin tuna",NA,NA,NA,NA,NA,NA
"350","Italy","Common sole",NA,NA,NA,NA,NA,NA
